CruiseNumber,Date,Year,DOY,Source,Station,Zooplankton
,6/16/2022,,,REU,2,59.606
,6/16/2022,,,REU,3,57.272
,6/16/2022,,,REU,4,58.781
,7/7/2022,,,REU,1,22.454
,7/7/2022,,,REU,2,41.09
,7/7/2022,,,REU,3,25.111
,7/7/2022,,,REU,4,67.822
Cruise 1,9/8/2022,,,COLBY,1,47.541
Cruise 1,9/8/2022,,,COLBY,2,48.383
Cruise 1,9/8/2022,,,COLBY,3,35.585
Cruise 1,9/8/2022,,,COLBY,4,24.606
Cruise 2,9/15/2022,,,COLBY,1,64.751
Cruise 2,9/15/2022,,,COLBY,2,94.97
Cruise 2,9/15/2022,,,COLBY,3,25.945
Cruise 3,9/29/2022,,,COLBY,1,28.427
Cruise 3,9/29/2022,,,COLBY,2,79.953
Cruise 3,9/29/2022,,,COLBY,3,32.452
Cruise 3,9/29/2022,,,COLBY,4,35.789
Cruise 4,10/13/2022,,,COLBY,1,45.564
Cruise 4,10/13/2022,,,COLBY,2,37.889
Cruise 4,10/13/2022,,,COLBY,3,37.891
Cruise 5,10/27/2022,,,COLBY,1,56.685
Cruise 5,10/27/2022,,,COLBY,2,83.253
Cruise 5,10/27/2022,,,COLBY,3,33.193
Cruise 5,10/27/2022,,,COLBY,4,28.342
Cruise 6,11/15/2022,,,COLBY,1,19.038
Cruise 6,11/15/2022,,,COLBY,2,44.187
Cruise 6,11/15/2022,,,COLBY,3,16.307
Cruise 6,11/15/2022,,,COLBY,4,19.956
